anomaly,doc_id
1,DOC_02077
2,DOC_01716
3,DOC_00105
4,DOC_01470
5,DOC_00746
6,DOC_00642
7,DOC_01390
8,DOC_01687
9,DOC_01267
10,DOC_00534
11,DOC_00734
12,DOC_00299
13,DOC_00117
14,DOC_01208
15,DOC_00916
16,DOC_00755
17,DOC_02140
18,DOC_00390
19,DOC_01405
20,DOC_00501
21,DOC_01752
22,DOC_02050
23,DOC_01808
24,DOC_00098
25,DOC_00089
26,DOC_01246
27,DOC_00341
28,DOC_00416
29,DOC_00473
30,DOC_02034
31,DOC_01069
32,DOC_00211
33,DOC_00314
34,DOC_00026
35,DOC_01743
36,DOC_00879
37,DOC_02074
38,DOC_00359
39,DOC_00677
40,DOC_01650
41,DOC_00375
42,DOC_00178
43,DOC_01565
44,DOC_02163
45,DOC_00477
46,DOC_00081
47,DOC_01983
48,DOC_00215
49,DOC_02118
50,DOC_00576
