doc_id,cluster
DOC_00001,2
DOC_00002,6
DOC_00003,6
DOC_00004,4
DOC_00005,3
DOC_00006,7
DOC_00007,6
DOC_00008,2
DOC_00009,2
DOC_00010,2
DOC_00011,5
DOC_00012,1
DOC_00013,7
DOC_00014,7
DOC_00015,2
DOC_00016,2
DOC_00017,2
DOC_00018,7
DOC_00019,2
DOC_00020,3
DOC_00021,2
DOC_00022,7
DOC_00023,2
DOC_00024,5
DOC_00025,7
DOC_00026,3
DOC_00027,7
DOC_00028,7
DOC_00029,0
DOC_00030,2
DOC_00031,4
DOC_00032,6
DOC_00033,3
DOC_00034,2
DOC_00035,3
DOC_00036,3
DOC_00037,4
DOC_00038,2
DOC_00039,6
DOC_00040,5
DOC_00041,0
DOC_00042,3
DOC_00043,2
DOC_00044,6
DOC_00045,6
DOC_00046,6
DOC_00047,6
DOC_00048,4
DOC_00049,4
DOC_00050,3
DOC_00051,5
DOC_00052,6
DOC_00053,6
DOC_00054,2
DOC_00055,4
DOC_00056,2
DOC_00057,2
DOC_00058,2
DOC_00059,6
DOC_00060,6
DOC_00061,3
DOC_00062,5
DOC_00063,3
DOC_00064,2
DOC_00065,2
DOC_00066,3
DOC_00067,5
DOC_00068,5
DOC_00069,6
DOC_00070,6
DOC_00071,6
DOC_00072,4
DOC_00073,2
DOC_00074,0
DOC_00075,2
DOC_00076,6
DOC_00077,4
DOC_00078,3
DOC_00079,4
DOC_00080,6
DOC_00081,1
DOC_00082,3
DOC_00083,4
DOC_00084,4
DOC_00085,2
DOC_00086,5
DOC_00087,3
DOC_00088,2
DOC_00089,2
DOC_00090,4
DOC_00091,2
DOC_00092,3
DOC_00093,6
DOC_00094,5
DOC_00095,6
DOC_00096,0
DOC_00097,4
DOC_00098,2
DOC_00099,4
DOC_00100,3
DOC_00101,5
DOC_00102,6
DOC_00103,2
DOC_00104,5
DOC_00105,1
DOC_00106,2
DOC_00107,2
DOC_00108,3
DOC_00109,2
DOC_00110,6
DOC_00111,0
DOC_00112,6
DOC_00113,7
DOC_00114,5
DOC_00115,2
DOC_00116,2
DOC_00117,2
DOC_00118,3
DOC_00119,3
DOC_00120,2
DOC_00121,7
DOC_00122,2
DOC_00123,2
DOC_00124,7
DOC_00125,2
DOC_00126,2
DOC_00127,5
DOC_00128,2
DOC_00129,5
DOC_00130,7
DOC_00131,5
DOC_00132,3
DOC_00133,7
DOC_00134,5
DOC_00135,4
DOC_00136,7
DOC_00137,2
DOC_00138,2
DOC_00139,3
DOC_00140,5
DOC_00141,7
DOC_00142,7
DOC_00143,3
DOC_00144,2
DOC_00145,4
DOC_00146,1
DOC_00147,3
DOC_00148,2
DOC_00149,6
DOC_00150,0
DOC_00151,0
DOC_00152,2
DOC_00153,3
DOC_00154,4
DOC_00155,2
DOC_00156,2
DOC_00157,6
DOC_00158,2
DOC_00159,3
DOC_00160,6
DOC_00161,3
DOC_00162,2
DOC_00163,6
DOC_00164,2
DOC_00165,6
DOC_00166,3
DOC_00167,5
DOC_00168,2
DOC_00169,6
DOC_00170,6
DOC_00171,4
DOC_00172,2
DOC_00173,6
DOC_00174,2
DOC_00175,4
DOC_00176,4
DOC_00177,6
DOC_00178,5
DOC_00179,5
DOC_00180,7
DOC_00181,7
DOC_00182,6
DOC_00183,0
DOC_00184,2
DOC_00185,2
DOC_00186,6
DOC_00187,6
DOC_00188,4
DOC_00189,0
DOC_00190,7
DOC_00191,0
DOC_00192,2
DOC_00193,7
DOC_00194,7
DOC_00195,2
DOC_00196,2
DOC_00197,4
DOC_00198,6
DOC_00199,3
DOC_00200,2
DOC_00201,2
DOC_00202,2
DOC_00203,5
DOC_00204,4
DOC_00205,2
DOC_00206,5
DOC_00207,0
DOC_00208,6
DOC_00209,6
DOC_00210,3
DOC_00211,1
DOC_00212,4
DOC_00213,0
DOC_00214,6
DOC_00215,1
DOC_00216,3
DOC_00217,0
DOC_00218,4
DOC_00219,6
DOC_00220,7
DOC_00221,6
DOC_00222,0
DOC_00223,3
DOC_00224,4
DOC_00225,7
DOC_00226,6
DOC_00227,4
DOC_00228,6
DOC_00229,6
DOC_00230,5
DOC_00231,3
DOC_00232,4
DOC_00233,2
DOC_00234,4
DOC_00235,4
DOC_00236,6
DOC_00237,2
DOC_00238,3
DOC_00239,7
DOC_00240,4
DOC_00241,3
DOC_00242,2
DOC_00243,2
DOC_00244,2
DOC_00245,7
DOC_00246,3
DOC_00247,2
DOC_00248,3
DOC_00249,2
DOC_00250,4
DOC_00251,6
DOC_00252,2
DOC_00253,2
DOC_00254,5
DOC_00255,2
DOC_00256,2
DOC_00257,6
DOC_00258,3
DOC_00259,5
DOC_00260,6
DOC_00261,2
DOC_00262,2
DOC_00263,5
DOC_00264,2
DOC_00265,2
DOC_00266,2
DOC_00267,2
DOC_00268,6
DOC_00269,2
DOC_00270,6
DOC_00271,2
DOC_00272,5
DOC_00273,5
DOC_00274,3
DOC_00275,6
DOC_00276,5
DOC_00277,2
DOC_00278,4
DOC_00279,3
DOC_00280,6
DOC_00281,7
DOC_00282,7
DOC_00283,2
DOC_00284,3
DOC_00285,7
DOC_00286,5
DOC_00287,2
DOC_00288,2
DOC_00289,7
DOC_00290,6
DOC_00291,4
DOC_00292,0
DOC_00293,2
DOC_00294,2
DOC_00295,2
DOC_00296,1
DOC_00297,7
DOC_00298,7
DOC_00299,2
DOC_00300,5
DOC_00301,2
DOC_00302,2
DOC_00303,2
DOC_00304,3
DOC_00305,0
DOC_00306,2
DOC_00307,5
DOC_00308,5
DOC_00309,3
DOC_00310,7
DOC_00311,6
DOC_00312,5
DOC_00313,5
DOC_00314,1
DOC_00315,2
DOC_00316,5
DOC_00317,3
DOC_00318,7
DOC_00319,3
DOC_00320,0
DOC_00321,2
DOC_00322,0
DOC_00323,5
DOC_00324,2
DOC_00325,3
DOC_00326,3
DOC_00327,2
DOC_00328,3
DOC_00329,2
DOC_00330,5
DOC_00331,7
DOC_00332,2
DOC_00333,4
DOC_00334,2
DOC_00335,4
DOC_00336,7
DOC_00337,2
DOC_00338,4
DOC_00339,2
DOC_00340,4
DOC_00341,1
DOC_00342,7
DOC_00343,2
DOC_00344,6
DOC_00345,4
DOC_00346,2
DOC_00347,7
DOC_00348,3
DOC_00349,6
DOC_00350,2
DOC_00351,5
DOC_00352,6
DOC_00353,7
DOC_00354,6
DOC_00355,3
DOC_00356,7
DOC_00357,3
DOC_00358,3
DOC_00359,1
DOC_00360,5
DOC_00361,2
DOC_00362,7
DOC_00363,4
DOC_00364,2
DOC_00365,5
DOC_00366,6
DOC_00367,3
DOC_00368,2
DOC_00369,2
DOC_00370,2
DOC_00371,6
DOC_00372,3
DOC_00373,4
DOC_00374,2
DOC_00375,2
DOC_00376,5
DOC_00377,2
DOC_00378,2
DOC_00379,3
DOC_00380,7
DOC_00381,2
DOC_00382,2
DOC_00383,3
DOC_00384,3
DOC_00385,5
DOC_00386,6
DOC_00387,4
DOC_00388,2
DOC_00389,5
DOC_00390,1
DOC_00391,2
DOC_00392,2
DOC_00393,5
DOC_00394,3
DOC_00395,7
DOC_00396,3
DOC_00397,3
DOC_00398,3
DOC_00399,5
DOC_00400,4
DOC_00401,3
DOC_00402,2
DOC_00403,2
DOC_00404,3
DOC_00405,2
DOC_00406,7
DOC_00407,2
DOC_00408,2
DOC_00409,6
DOC_00410,6
DOC_00411,3
DOC_00412,5
DOC_00413,5
DOC_00414,5
DOC_00415,4
DOC_00416,1
DOC_00417,5
DOC_00418,5
DOC_00419,3
DOC_00420,5
DOC_00421,4
DOC_00422,6
DOC_00423,5
DOC_00424,5
DOC_00425,7
DOC_00426,2
DOC_00427,4
DOC_00428,0
DOC_00429,5
DOC_00430,3
DOC_00431,7
DOC_00432,7
DOC_00433,2
DOC_00434,2
DOC_00435,5
DOC_00436,6
DOC_00437,2
DOC_00438,7
DOC_00439,5
DOC_00440,2
DOC_00441,7
DOC_00442,6
DOC_00443,4
DOC_00444,2
DOC_00445,7
DOC_00446,7
DOC_00447,3
DOC_00448,2
DOC_00449,2
DOC_00450,2
DOC_00451,1
DOC_00452,3
DOC_00453,6
DOC_00454,4
DOC_00455,2
DOC_00456,4
DOC_00457,5
DOC_00458,3
DOC_00459,2
DOC_00460,3
DOC_00461,2
DOC_00462,2
DOC_00463,7
DOC_00464,2
DOC_00465,7
DOC_00466,0
DOC_00467,3
DOC_00468,4
DOC_00469,2
DOC_00470,6
DOC_00471,7
DOC_00472,7
DOC_00473,1
DOC_00474,4
DOC_00475,6
DOC_00476,7
DOC_00477,2
DOC_00478,5
DOC_00479,2
DOC_00480,0
DOC_00481,2
DOC_00482,3
DOC_00483,2
DOC_00484,5
DOC_00485,2
DOC_00486,2
DOC_00487,7
DOC_00488,5
DOC_00489,2
DOC_00490,5
DOC_00491,3
DOC_00492,5
DOC_00493,2
DOC_00494,6
DOC_00495,6
DOC_00496,3
DOC_00497,4
DOC_00498,5
DOC_00499,5
DOC_00500,4
DOC_00501,1
DOC_00502,7
DOC_00503,2
DOC_00504,5
DOC_00505,4
DOC_00506,2
DOC_00507,5
DOC_00508,2
DOC_00509,3
DOC_00510,2
DOC_00511,2
DOC_00512,0
DOC_00513,2
DOC_00514,6
DOC_00515,2
DOC_00516,5
DOC_00517,2
DOC_00518,6
DOC_00519,6
DOC_00520,2
DOC_00521,5
DOC_00522,5
DOC_00523,3
DOC_00524,7
DOC_00525,6
DOC_00526,7
DOC_00527,2
DOC_00528,3
DOC_00529,3
DOC_00530,4
DOC_00531,5
DOC_00532,6
DOC_00533,3
DOC_00534,5
DOC_00535,2
DOC_00536,2
DOC_00537,7
DOC_00538,2
DOC_00539,7
DOC_00540,2
DOC_00541,4
DOC_00542,3
DOC_00543,2
DOC_00544,7
DOC_00545,4
DOC_00546,5
DOC_00547,4
DOC_00548,2
DOC_00549,4
DOC_00550,2
DOC_00551,4
DOC_00552,3
DOC_00553,2
DOC_00554,5
DOC_00555,7
DOC_00556,6
DOC_00557,6
DOC_00558,7
DOC_00559,2
DOC_00560,2
DOC_00561,2
DOC_00562,2
DOC_00563,3
DOC_00564,3
DOC_00565,6
DOC_00566,2
DOC_00567,4
DOC_00568,2
DOC_00569,3
DOC_00570,2
DOC_00571,6
DOC_00572,2
DOC_00573,2
DOC_00574,2
DOC_00575,6
DOC_00576,1
DOC_00577,2
DOC_00578,2
DOC_00579,2
DOC_00580,6
DOC_00581,6
DOC_00582,4
DOC_00583,3
DOC_00584,6
DOC_00585,7
DOC_00586,6
DOC_00587,5
DOC_00588,5
DOC_00589,5
DOC_00590,5
DOC_00591,3
DOC_00592,5
DOC_00593,5
DOC_00594,7
DOC_00595,5
DOC_00596,3
DOC_00597,2
DOC_00598,2
DOC_00599,4
DOC_00600,2
DOC_00601,2
DOC_00602,4
DOC_00603,4
DOC_00604,2
DOC_00605,6
DOC_00606,5
DOC_00607,2
DOC_00608,0
DOC_00609,6
DOC_00610,5
DOC_00611,2
DOC_00612,4
DOC_00613,7
DOC_00614,5
DOC_00615,5
DOC_00616,4
DOC_00617,2
DOC_00618,2
DOC_00619,5
DOC_00620,3
DOC_00621,4
DOC_00622,2
DOC_00623,3
DOC_00624,4
DOC_00625,5
DOC_00626,4
DOC_00627,4
DOC_00628,6
DOC_00629,5
DOC_00630,5
DOC_00631,5
DOC_00632,3
DOC_00633,2
DOC_00634,3
DOC_00635,2
DOC_00636,4
DOC_00637,2
DOC_00638,3
DOC_00639,5
DOC_00640,2
DOC_00641,5
DOC_00642,1
DOC_00643,4
DOC_00644,2
DOC_00645,5
DOC_00646,2
DOC_00647,6
DOC_00648,6
DOC_00649,5
DOC_00650,4
DOC_00651,2
DOC_00652,4
DOC_00653,3
DOC_00654,3
DOC_00655,5
DOC_00656,2
DOC_00657,2
DOC_00658,4
DOC_00659,6
DOC_00660,3
DOC_00661,2
DOC_00662,2
DOC_00663,4
DOC_00664,3
DOC_00665,6
DOC_00666,2
DOC_00667,6
DOC_00668,3
DOC_00669,7
DOC_00670,4
DOC_00671,3
DOC_00672,4
DOC_00673,4
DOC_00674,5
DOC_00675,3
DOC_00676,2
DOC_00677,1
DOC_00678,7
DOC_00679,7
DOC_00680,6
DOC_00681,3
DOC_00682,3
DOC_00683,5
DOC_00684,2
DOC_00685,2
DOC_00686,4
DOC_00687,4
DOC_00688,2
DOC_00689,6
DOC_00690,2
DOC_00691,4
DOC_00692,4
DOC_00693,2
DOC_00694,3
DOC_00695,2
DOC_00696,3
DOC_00697,6
DOC_00698,5
DOC_00699,7
DOC_00700,0
DOC_00701,4
DOC_00702,4
DOC_00703,2
DOC_00704,3
DOC_00705,2
DOC_00706,7
DOC_00707,1
DOC_00708,7
DOC_00709,4
DOC_00710,5
DOC_00711,2
DOC_00712,4
DOC_00713,7
DOC_00714,4
DOC_00715,2
DOC_00716,2
DOC_00717,2
DOC_00718,6
DOC_00719,3
DOC_00720,2
DOC_00721,5
DOC_00722,5
DOC_00723,6
DOC_00724,6
DOC_00725,4
DOC_00726,5
DOC_00727,7
DOC_00728,6
DOC_00729,7
DOC_00730,5
DOC_00731,6
DOC_00732,2
DOC_00733,6
DOC_00734,5
DOC_00735,4
DOC_00736,2
DOC_00737,5
DOC_00738,2
DOC_00739,3
DOC_00740,6
DOC_00741,7
DOC_00742,3
DOC_00743,3
DOC_00744,3
DOC_00745,3
DOC_00746,2
DOC_00747,3
DOC_00748,5
DOC_00749,6
DOC_00750,2
DOC_00751,7
DOC_00752,6
DOC_00753,3
DOC_00754,2
DOC_00755,2
DOC_00756,5
DOC_00757,4
DOC_00758,5
DOC_00759,5
DOC_00760,5
DOC_00761,3
DOC_00762,7
DOC_00763,7
DOC_00764,6
DOC_00765,7
DOC_00766,4
DOC_00767,5
DOC_00768,7
DOC_00769,2
DOC_00770,3
DOC_00771,2
DOC_00772,7
DOC_00773,6
DOC_00774,6
DOC_00775,6
DOC_00776,4
DOC_00777,6
DOC_00778,7
DOC_00779,6
DOC_00780,3
DOC_00781,2
DOC_00782,2
DOC_00783,2
DOC_00784,7
DOC_00785,2
DOC_00786,4
DOC_00787,2
DOC_00788,2
DOC_00789,4
DOC_00790,3
DOC_00791,4
DOC_00792,7
DOC_00793,7
DOC_00794,6
DOC_00795,7
DOC_00796,3
DOC_00797,5
DOC_00798,3
DOC_00799,2
DOC_00800,5
DOC_00801,2
DOC_00802,4
DOC_00803,2
DOC_00804,0
DOC_00805,6
DOC_00806,7
DOC_00807,6
DOC_00808,7
DOC_00809,2
DOC_00810,7
DOC_00811,0
DOC_00812,2
DOC_00813,6
DOC_00814,6
DOC_00815,2
DOC_00816,2
DOC_00817,7
DOC_00818,3
DOC_00819,2
DOC_00820,2
DOC_00821,4
DOC_00822,0
DOC_00823,2
DOC_00824,7
DOC_00825,7
DOC_00826,5
DOC_00827,7
DOC_00828,7
DOC_00829,2
DOC_00830,5
DOC_00831,7
DOC_00832,7
DOC_00833,3
DOC_00834,4
DOC_00835,3
DOC_00836,6
DOC_00837,2
DOC_00838,3
DOC_00839,2
DOC_00840,7
DOC_00841,5
DOC_00842,5
DOC_00843,3
DOC_00844,2
DOC_00845,0
DOC_00846,5
DOC_00847,6
DOC_00848,7
DOC_00849,3
DOC_00850,7
DOC_00851,5
DOC_00852,2
DOC_00853,0
DOC_00854,4
DOC_00855,6
DOC_00856,3
DOC_00857,2
DOC_00858,6
DOC_00859,3
DOC_00860,5
DOC_00861,6
DOC_00862,2
DOC_00863,2
DOC_00864,6
DOC_00865,5
DOC_00866,5
DOC_00867,4
DOC_00868,2
DOC_00869,7
DOC_00870,5
DOC_00871,2
DOC_00872,5
DOC_00873,5
DOC_00874,3
DOC_00875,6
DOC_00876,7
DOC_00877,4
DOC_00878,2
DOC_00879,1
DOC_00880,6
DOC_00881,1
DOC_00882,2
DOC_00883,1
DOC_00884,7
DOC_00885,2
DOC_00886,5
DOC_00887,6
DOC_00888,6
DOC_00889,7
DOC_00890,3
DOC_00891,4
DOC_00892,5
DOC_00893,6
DOC_00894,5
DOC_00895,6
DOC_00896,2
DOC_00897,5
DOC_00898,2
DOC_00899,3
DOC_00900,7
DOC_00901,2
DOC_00902,5
DOC_00903,4
DOC_00904,7
DOC_00905,2
DOC_00906,7
DOC_00907,2
DOC_00908,7
DOC_00909,2
DOC_00910,7
DOC_00911,2
DOC_00912,2
DOC_00913,5
DOC_00914,2
DOC_00915,2
DOC_00916,3
DOC_00917,4
DOC_00918,5
DOC_00919,7
DOC_00920,5
DOC_00921,6
DOC_00922,0
DOC_00923,5
DOC_00924,2
DOC_00925,0
DOC_00926,6
DOC_00927,5
DOC_00928,4
DOC_00929,4
DOC_00930,2
DOC_00931,2
DOC_00932,4
DOC_00933,7
DOC_00934,6
DOC_00935,5
DOC_00936,6
DOC_00937,5
DOC_00938,7
DOC_00939,3
DOC_00940,6
DOC_00941,3
DOC_00942,7
DOC_00943,3
DOC_00944,6
DOC_00945,3
DOC_00946,4
DOC_00947,7
DOC_00948,0
DOC_00949,4
DOC_00950,2
DOC_00951,6
DOC_00952,4
DOC_00953,3
DOC_00954,4
DOC_00955,2
DOC_00956,5
DOC_00957,7
DOC_00958,6
DOC_00959,6
DOC_00960,6
DOC_00961,2
DOC_00962,2
DOC_00963,4
DOC_00964,2
DOC_00965,5
DOC_00966,5
DOC_00967,7
DOC_00968,5
DOC_00969,2
DOC_00970,6
DOC_00971,2
DOC_00972,3
DOC_00973,6
DOC_00974,2
DOC_00975,4
DOC_00976,7
DOC_00977,4
DOC_00978,3
DOC_00979,2
DOC_00980,3
DOC_00981,2
DOC_00982,6
DOC_00983,5
DOC_00984,0
DOC_00985,6
DOC_00986,2
DOC_00987,4
DOC_00988,7
DOC_00989,2
DOC_00990,5
DOC_00991,5
DOC_00992,3
DOC_00993,6
DOC_00994,3
DOC_00995,6
DOC_00996,3
DOC_00997,6
DOC_00998,2
DOC_00999,3
DOC_01000,2
DOC_01001,4
DOC_01002,7
DOC_01003,7
DOC_01004,3
DOC_01005,2
DOC_01006,4
DOC_01007,4
DOC_01008,2
DOC_01009,2
DOC_01010,4
DOC_01011,7
DOC_01012,7
DOC_01013,2
DOC_01014,2
DOC_01015,3
DOC_01016,5
DOC_01017,3
DOC_01018,3
DOC_01019,3
DOC_01020,2
DOC_01021,3
DOC_01022,4
DOC_01023,6
DOC_01024,5
DOC_01025,6
DOC_01026,4
DOC_01027,4
DOC_01028,6
DOC_01029,6
DOC_01030,4
DOC_01031,7
DOC_01032,4
DOC_01033,2
DOC_01034,6
DOC_01035,4
DOC_01036,6
DOC_01037,5
DOC_01038,5
DOC_01039,6
DOC_01040,2
DOC_01041,5
DOC_01042,2
DOC_01043,5
DOC_01044,6
DOC_01045,4
DOC_01046,2
DOC_01047,4
DOC_01048,1
DOC_01049,2
DOC_01050,6
DOC_01051,7
DOC_01052,3
